index,date,symbol,price
118675,2011-01-04,BXP,89.470001
118676,2011-01-04,C,4.91
118677,2011-01-04,CA,24.77
118678,2011-01-04,CAG,22.649998999999998
118679,2011-01-04,CAH,38.959998999999996
118680,2011-01-04,CAT,94.639999
118681,2011-01-04,CB,62.110001000000004
118682,2011-01-04,CBG,21.07
118683,2011-01-04,CBS,19.27
118684,2011-01-04,CCI,43.529999
118685,2011-01-04,CCL,47.849998
118686,2011-01-04,CELG,59.810001
118687,2011-01-04,CERN,95.68
118688,2011-01-04,CF,136.420002
118689,2011-01-04,CHD,69.290001
118690,2011-01-04,CHK,26.690001000000002
118691,2011-01-04,CHRW,80.32
118692,2011-01-04,CHTR,38.490002000000004
118693,2011-01-04,CI,37.779999
118694,2011-01-04,CINF,32.509997999999996
118695,2011-01-04,CL,79.529999
118696,2011-01-04,CLX,61.450001
118697,2011-01-04,CMA,42.889998999999996
118698,2011-01-04,CMCSA,22.299999
118699,2011-01-04,CME,315.97999599999997
118700,2011-01-04,CMG,222.61000099999998
118701,2011-01-04,CMI,112.230003
118702,2011-01-04,CMS,18.870001000000002
118703,2011-01-04,CNC,26.51
118704,2011-01-04,CNP,15.79
118705,2011-01-04,COF,43.77
118706,2011-01-04,COG,38.599998
118707,2011-01-04,COH,54.490002000000004
118708,2011-01-04,COL,58.860001000000004
118709,2011-01-04,COO,56.990002000000004
118710,2011-01-04,COP,68.609948
118711,2011-01-04,COST,72.529999
118712,2011-01-04,CPB,34.669998
118713,2011-01-04,CRM,138.449997
118714,2011-01-04,CSCO,20.51
118715,2011-01-04,CSX,65.749998
118716,2011-01-04,CTAS,28.1
118717,2011-01-04,CTL,46.75
118718,2011-01-04,CTSH,75.620003
118719,2011-01-04,CTXS,67.779999
118720,2011-01-04,CVS,35.0
118721,2011-01-04,CVX,92.279999
118722,2011-01-04,CXO,89.949997
118723,2011-01-04,D,42.689999
118724,2011-01-04,DAL,12.58
118725,2011-01-04,DD,50.27
118726,2011-01-04,DE,84.0
118727,2011-01-04,DFS,18.76
118728,2011-01-04,DG,30.85
118729,2011-01-04,DGX,54.900002
118730,2011-01-04,DHI,12.34
118731,2011-01-04,DHR,47.399998
118732,2011-01-04,DIS,37.93
118733,2011-01-04,DISCA,42.080002
118734,2011-01-04,DISCK,36.709998999999996
